,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N
0,d ,-3648,-5400,-5940,-822,-1800,-933,1520,-6360,-6028,2674,4492,5450,741,1920,900,-1219,4654,4444,-412,-1610,-471,153,-1464,-420,840,-1719,-1864,81
1,d ,-2508,-4800,-5724,-1096,-1800,-933,2090,-6360,-6302,1928,3974,5312,990,2076,1410,-1312,4476,4532,-1848,-1708,-1208,-951,-1968,-2028,-880,-1034,-1632,41
2,d ,-1824,-5040,-5724,-1370,-1800,-933,950,-6360,-6028,1596,4270,5327,1612,2046,1302,-427,4756,4598,-644,-2303,-680,-558,-2184,-1680,-468,-2024,-2384,67
3,d ,-1140,-4560,-5400,411,-2400,-1866,5890,-6625,-5480,678,3888,4910,332,2655,2106,-3069,5142,4330,-1540,-2058,-768,-1266,-2424,-2316,-1696,-2511,-2928,100
4,d ,-684,-2760,-3024,-3151,-2400,-3110,570,-6890,-6028,96,2048,2526,2444,2445,3099,-252,5066,4480,-2292,-2296,-2944,663,-2784,-3300,-612,-1305,-2008,194
5,d ,-3420,-5280,-5832,274,-3600,-1555,4180,-6095,-4658,2874,4402,5555,-166,3999,2346,-2402,4302,3390,-1284,-1302,1304,48,-1680,-1140,-84,-503,-920,46
6,d ,-2736,-6000,-6480,-822,-1500,-1244,950,-6890,-6850,3330,5324,6507,1017,1647,1440,-93,4980,5056,-4060,-854,-232,-465,-1392,-996,-2816,-783,-2080,153
7,d ,-2964,-5520,-5940,274,-3000,-1244,950,-6360,-6028,2326,4656,5659,-383,3227,1518,-862,4504,4344,-1604,-1953,-1024,216,-1920,-1116,-28,-1016,-1512,80
8,d ,-2736,-5760,-5832,3014,-3900,311,3040,-6890,-6576,3054,5179,6091,-1957,4167,186,-1531,5122,4950,-3316,-3185,-4064,-129,-2592,-2184,-1427,-1935,-2512,129
9,s ,-2736,-6840,-6696,-2603,-1500,-2488,-1140,-5035,-3288,950,6083,6138,1993,1914,2772,344,3870,2454,1028,7441,7432,4626,8064,7608,-640,7965,7448,123
10,d ,-2508,-4920,-5832,-2603,-1800,-2799,2850,-6625,-6302,1596,3988,5121,2011,1938,2685,-1731,4946,4730,-1364,-1148,-1072,249,-2160,-1836,-172,-1098,-1912,94
11,d ,-3192,-5040,-5940,-959,-2400,-3110,3420,-6625,-5480,2570,4285,5419,1329,2631,3309,-1763,5064,4270,-1688,-1911,-648,-1083,-2040,-2087,-1520,-2060,-2472,86
12,d ,-3192,-5400,-5940,-1781,-3000,-1244,-760,-6890,-6302,2632,4624,5761,1115,3219,1506,116,4924,4560,-1816,-2198,-1616,306,-1800,-1056,-100,-1007,-1472,87
13,d ,-1596,-4920,-5724,-1918,-2400,-3732,3610,-6360,-6028,1192,3837,5013,1502,2418,3614,-1765,4584,4406,-3800,-2429,-3680,-714,-3528,-4008,-2100,-1089,-1792,158
14,d ,-5016,-6480,-6588,1096,-4200,-622,-950,-6890,-6850,5052,5631,6448,-622,4289,660,722,4946,4992,-3652,-1029,216,-320,-1248,-552,-2308,-1025,-1944,138
15,h ,2736,-7200,-6912,959,-4500,-933,1710,-6095,-4384,-1178,6641,7528,182,5334,2247,-720,5420,4242,-3776,-5530,-7432,-1467,-6840,-5604,-1384,-5976,-5976,134
16,d ,-5472,-6360,-6480,-685,-4200,-622,-4180,-6360,-6028,4265,5308,6172,345,4980,2049,2021,4630,4642,-2320,-1309,-856,-93,-3192,-3239,-1104,-360,-2016,30
17,d ,-4332,-4920,-5184,-4795,-3000,-3732,-1330,-6890,-6576,3586,4227,5115,3912,3366,4446,768,5258,5186,-2056,-3248,-5384,39,-3264,-4524,-1708,-2835,-3808,28
18,d ,-3648,-6240,-6588,-1644,-3600,-2488,190,-6890,-6850,3752,5342,6319,1952,3689,2562,184,4970,4988,-3904,-1617,-1760,-2556,-2927,-3156,-3104,-1296,-2056,179
19,d ,-6612,-6480,-6696,137,-4800,-1555,-1710,-6625,-5754,5414,5419,6372,-132,5292,2511,616,4726,4230,-1540,-1519,-168,89,-1872,-1824,-56,-423,-1216,40
20,h ,3876,-7440,-6912,822,-4200,-1866,950,-6890,-4658,-2264,6785,7191,40,4401,2250,191,4940,3468,-4712,-2107,-2168,-735,-2472,-1896,-4048,-1215,-2392,165
21,d ,-3648,-6240,-6480,-2877,-3300,-3421,950,-6890,-6302,3352,5266,6000,2812,3537,3756,-289,5212,4878,-2564,-2394,-1879,-1494,-2112,-2748,-2072,-2223,-2952,60
22,d ,-3648,-5280,-6048,-3562,-3300,-3732,-190,-6890,-6850,2308,4202,5250,2682,3377,3498,-132,5004,4938,-2128,-1820,-2560,486,-2664,-2424,-640,-972,-1376,155
23,d ,-4560,-5520,-5832,-1096,-4200,-3110,-950,-6890,-6576,4299,4726,5533,1669,4575,3839,876,5262,5170,-2960,-2758,-2392,-1524,-2544,-3720,-2868,-2835,-3696,34
24,d ,-4332,-6360,-6372,-685,-4800,-2799,-190,-6625,-5754,3924,5335,6034,1003,5220,3645,166,4742,4238,-2812,-2436,-2416,-1629,-2784,-3828,-2220,-1620,-2599,27
25,s ,-2280,-7560,-7452,-2603,-4200,-2488,-570,-6625,-5754,2996,6776,7590,2421,4362,2742,773,4760,4240,-4896,280,80,1701,-96,408,-2676,-1170,-2304,174
26,h ,3648,-6960,-6696,-137,-3900,-3421,3610,-6625,-4384,-3596,6640,6508,2269,4455,4164,-1146,5850,4130,-1644,-7441,-5240,-5019,-4320,-4380,-3836,-5157,-4840,53
27,d ,-2508,-3600,-3780,-3836,-3000,-5287,-1520,-7155,-7124,-40,2684,3014,2948,2988,4869,82,5180,5086,1584,-1414,-1368,804,-1944,-2064,2064,-1593,-1696,186
28,h ,3648,-7560,-7128,1233,-4800,-2177,950,-6625,-4658,-2240,6655,7222,-604,5001,2622,-165,4608,3298,-3884,-1134,-440,-122,-1920,-1836,-2540,-153,-1456,148
29,s ,-2964,-7800,-7560,-2740,-3300,-2799,-4750,-7155,-6576,3456,6844,7528,2501,3447,2981,2889,5164,4828,-3964,167,736,-4761,-5111,-5448,-5344,-2664,-3000,190
30,d ,-5700,-6600,-6696,-2603,-3600,-3110,-1520,-7155,-7124,5215,5568,6211,2649,3846,3489,1045,5414,5482,-2792,-2408,-2136,-1623,-2088,-2880,-2236,-2196,-2960,57
31,d ,-3648,-5640,-5940,-1507,-4800,-3110,-1330,-6890,-6850,2376,4633,5281,1384,4902,2967,418,5012,4926,-2092,-1596,-1304,-969,-2568,-2891,-1444,-477,-1200,145
32,s ,-2280,-7680,-7560,-2740,-4200,-3732,-1900,-6625,-5480,3094,6961,7774,2553,4380,4008,1576,4756,4052,-4624,-1449,-2120,191,-2496,-1344,-3204,-1287,-2208,167
33,h ,1140,-7560,-7128,137,-5700,-2799,-380,-6095,-3836,-1412,6484,7165,-149,6285,4167,-45,4216,2958,-1600,-3409,-6504,1161,-4656,-6600,-784,-1134,-3120,19
34,d ,-5244,-5400,-5292,-4384,-4200,-4976,-1520,-6625,-7124,3696,4280,4552,3272,4251,4698,582,4812,5156,-2476,-1736,-3200,453,-2496,-2532,-824,-801,-1264,161
35,s ,-1368,-7560,-7452,-2192,-4800,-2799,-3230,-7155,-5754,2094,6635,7479,1919,4953,3060,2039,5098,4170,-3028,-889,168,405,-1272,-192,-2084,-477,-1584,156
36,d ,-3192,-3720,-3348,-5206,-4800,-5909,-2280,-7155,-6850,2330,2827,2795,3903,4809,5703,1248,5212,5036,-2772,-2310,-3040,153,-3024,-3384,-1027,-1143,-1880,193
