,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N
13,h ,-2964,-7920,-7560,-822,-6600,-5909,-3420,-7420,-6576,1148,6410,6723,-1096,6192,4563,-16,4796,4032,-1572,-742,-592,2628,864,1716,3384,441,640,64
14,h ,228,-7560,-7236,137,-7200,-6531,380,-6890,-5754,48,5941,6123,162,7239,5937,83,4886,4118,-3132,-616,-416,-618,-2856,-1680,-1627,-495,-1136,105
15,s ,-1824,-7560,-7452,-2329,-4800,-3110,-3420,-6625,-6028,2516,6564,7331,2069,4929,3171,2191,4772,4448,-4024,-315,288,-228,312,-131,-2396,189,-1384,147
16,s ,-1368,-7560,-7452,-2192,-4800,-2799,-3230,-7155,-5754,2094,6635,7479,1919,4953,3060,2039,5098,4170,-3028,-889,168,405,-1272,-192,-2084,-477,-1584,156
17,h ,-684,-7680,-7236,-1233,-6900,-4665,-2280,-6890,-5480,-979,6298,6465,217,7059,4427,512,5018,4024,-656,-1393,-1936,2601,-2592,-2291,1148,-225,-1032,58
18,s ,-2280,-7560,-7452,-2603,-4200,-2488,-570,-6625,-5754,2996,6776,7590,2421,4362,2742,773,4760,4240,-4896,280,80,1701,-96,408,-2676,-1170,-2304,174
19,h ,684,-7560,-7020,-411,-6900,-5598,-380,-7155,-5480,-970,6086,6172,81,6831,5016,-1,5144,4052,-2095,-616,-864,861,-984,-852,-264,27,-1360,102
20,h ,1596,-7560,-7236,274,-6600,-4665,190,-7155,-5206,-1778,6241,6588,83,6627,4737,-298,5238,3762,-2816,-1785,-1640,-1677,-2784,-4524,-2052,-1197,-1896,151
21,h ,912,-7680,-7344,-137,-6600,-5287,380,-7155,-5206,-1521,6206,6479,158,6405,4926,-624,4954,3554,-2244,-1281,-848,-525,-1128,-3168,-520,216,-936,173
22,h ,2052,-7560,-7128,822,-6600,-4043,570,-6625,-4384,-928,6198,6622,-356,6885,4635,55,4774,3448,-4728,-2016,-5080,-552,-4248,-5820,-2484,-909,-2504,69
23,h ,684,-7680,-7236,-548,-6000,-4043,-2090,-6890,-5206,-1586,6501,6944,-491,6093,3987,488,4768,3504,-2076,-1708,-2488,966,-1704,-1296,-612,-1025,-1080,109
24,h ,2280,-7440,-7128,274,-6000,-4354,2470,-6890,-5480,-2018,6360,6628,1479,6285,4227,-973,5172,4048,-3396,-4018,-3752,-5115,-5304,-4044,-3232,-1872,-2088,195
25,h ,1140,-7440,-6912,-548,-6300,-3732,-1520,-6095,-4110,-1548,6204,6571,137,7278,5217,733,4542,3474,-2768,-1148,-928,108,-3936,-3384,-1735,-477,-2799,25
26,h ,228,-7560,-7128,-959,-6000,-5287,760,-6890,-5206,-1550,6214,6344,1420,6357,5529,-1296,4878,3580,-12,-1666,-1752,-1932,-4560,-4212,2660,135,-360,103
27,s ,-228,-7680,-7236,-1233,-6300,-4354,-1140,-6095,-4932,-396,6415,6870,956,6819,5337,196,4300,3594,1460,-1680,176,4152,936,1248,3852,243,-120,33
28,h ,1140,-7560,-7128,137,-5700,-2799,-380,-6095,-3836,-1412,6484,7165,-149,6285,4167,-45,4216,2958,-1600,-3409,-6504,1161,-4656,-6600,-784,-1134,-3120,19
29,h ,-228,-7680,-7236,-411,-6300,-3732,-190,-6360,-4110,-948,6429,6883,90,6906,4956,-984,4396,2812,-132,-1771,-872,687,-2448,-3191,3060,225,-480,23
30,h ,912,-6840,-6480,-685,-4500,-4665,2470,-6890,-5480,-1948,6241,5933,2134,4692,4392,-1648,6284,5200,-124,-5495,-2279,-4071,-2112,-1044,208,-6354,-6128,83
31,h ,2736,-7200,-6912,959,-4500,-933,1710,-6095,-4384,-1178,6641,7528,182,5334,2247,-720,5420,4242,-3776,-5530,-7432,-1467,-6840,-5604,-1384,-5976,-5976,134
32,h ,3648,-6960,-6696,-137,-3900,-3421,3610,-6625,-4384,-3596,6640,6508,2269,4455,4164,-1146,5850,4130,-1644,-7441,-5240,-5019,-4320,-4380,-3836,-5157,-4840,53
33,s ,228,-7680,-7236,0,-5700,-3110,-1520,-6890,-4384,-188,6387,6845,79,6066,3801,655,4888,3176,3640,-602,3352,3210,-672,2832,3244,-261,1104,49
34,h ,3876,-7440,-6912,822,-4200,-1866,950,-6890,-4658,-2264,6785,7191,40,4401,2250,191,4940,3468,-4712,-2107,-2168,-735,-2472,-1896,-4048,-1215,-2392,165
35,h ,3648,-7560,-7128,1233,-4800,-2177,950,-6625,-4658,-2240,6655,7222,-604,5001,2622,-165,4608,3298,-3884,-1134,-440,-122,-1920,-1836,-2540,-153,-1456,148
