,Unnamed: 0.1,Unnamed: 0.1.1,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline,Wine,N,Expect,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,Scalar_calc,Distance_to_Borders
0,0,49,-0.2947368421052634,-0.9209486166007904,-1.0,-1.0,-0.6086956521739131,-0.3103448275862068,-0.9029535864978904,-0.4339622641509433,-0.9936908517350158,-0.8856655290102389,-0.0731707317073169,-0.5970695970695971,-0.6547788873038516,2,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.6442893825272,21.40650830600178
1,19,68,-0.489473684210526,-0.9288537549407114,-0.3155080213903743,-0.1340206185567009,-0.6521739130434783,-0.0068965517241379,-0.1898734177215191,-0.358490566037736,-0.3564668769716088,-0.7918088737201365,0.4634146341463414,0.3553113553113554,-1.0,2,80,1,-0.489473684210526,-0.9288537549407114,-0.3155080213903743,-0.1340206185567009,-0.6521739130434783,-0.0068965517241379,-0.1898734177215191,-0.358490566037736,-0.3564668769716088,-0.7918088737201365,0.4634146341463414,0.3553113553113554,-1.0,119.4346410194202,21.40650830600178
2,54,103,-0.5842105263157891,-0.7114624505928854,-0.3262032085561498,0.0515463917525775,-0.6521739130434783,-0.3103448275862068,-0.4683544303797469,-0.358490566037736,-0.2933753943217665,-0.8856655290102389,-0.2357723577235773,0.5091575091575091,-0.6904422253922967,2,116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.23800656205972,21.40650830600178
3,28,77,-0.4473684210526313,-0.766798418972332,0.0053475935828875,0.3402061855670106,-1.0,-0.1586206896551723,-0.4725738396624472,0.0943396226415094,-0.38801261829653,-0.9215017064846416,-0.0406504065040649,0.4212454212454213,-0.5049928673323822,2,89,1,-0.4473684210526313,-0.766798418972332,0.0053475935828875,0.3402061855670106,-1.0,-0.1586206896551723,-0.4725738396624472,0.0943396226415094,-0.38801261829653,-0.9215017064846416,-0.0406504065040649,0.4212454212454213,-0.5049928673323822,114.51271827480257,21.40650830600178
4,42,91,-0.5842105263157891,-0.6126482213438735,-0.4438502673796793,-0.0824742268041236,-0.6521739130434783,0.0482758620689656,-0.4514767932489453,-0.0943396226415095,-0.362776025236593,-0.8668941979522184,-0.2520325203252033,-0.1428571428571429,-0.8045649072753209,2,103,1,-0.5842105263157891,-0.6126482213438735,-0.4438502673796793,-0.0824742268041236,-0.6521739130434783,0.0482758620689656,-0.4514767932489453,-0.0943396226415095,-0.362776025236593,-0.8668941979522184,-0.2520325203252033,-0.1428571428571429,-0.8045649072753209,110.85177638647744,21.40650830600178
5,51,100,-0.7999999999999996,-1.0,0.2192513368983957,0.0721649484536084,-0.6086956521739131,0.0344827586206897,-0.2953586497890297,0.0943396226415094,-0.3501577287066245,-0.6928327645051194,0.0081300813008131,-0.238095238095238,-0.7774607703281027,2,113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.81633628800328,21.40650830600178
6,52,101,-0.4473684210526313,-0.7430830039525692,0.2192513368983957,0.2268041237113403,-0.6956521739130435,0.0896551724137932,-0.1772151898734177,0.1320754716981131,-0.6025236593059936,-0.7235494880546076,-0.2682926829268292,0.4065934065934065,-0.8473609129814551,2,114,1,-0.4473684210526313,-0.7430830039525692,0.2192513368983957,0.2268041237113403,-0.6956521739130435,0.0896551724137932,-0.1772151898734177,0.1320754716981131,-0.6025236593059936,-0.7235494880546076,-0.2682926829268292,0.4065934065934065,-0.8473609129814551,107.95705862285048,21.40650830600178
7,53,102,-1.0,-0.6956521739130435,-0.1016042780748661,0.1237113402061858,-0.6739130434782609,0.0206896551724138,-0.2278481012658229,0.471698113207547,0.0094637223974762,-0.89419795221843,1.0,0.1721611721611722,-0.8159771754636234,2,115,1,-1.0,-0.6956521739130435,-0.1016042780748661,0.1237113402061858,-0.6739130434782609,0.0206896551724138,-0.2278481012658229,0.471698113207547,0.0094637223974762,-0.89419795221843,1.0,0.1721611721611722,-0.8159771754636234,107.87071283833944,21.40650830600178
8,21,70,-0.4473684210526313,-0.8458498023715415,0.2299465240641709,0.3814432989690723,-0.8260869565217391,-0.2965517241379309,-0.4767932489451477,0.0188679245283018,-0.3753943217665615,-0.8430034129692833,0.3495934959349596,0.0622710622710624,-0.4978601997146933,2,82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.23113247024024,21.40650830600178
9,40,89,-0.1736842105263157,-0.7628458498023715,-0.4224598930481285,-0.1855670103092782,-0.6086956521739131,-0.6758620689655173,-0.569620253164557,-0.3962264150943397,-0.4069400630914825,-0.8003412969283277,-0.089430894308943,0.098901098901099,-0.594864479315264,2,101,1,-0.1736842105263157,-0.7628458498023715,-0.4224598930481285,-0.1855670103092782,-0.6086956521739131,-0.6758620689655173,-0.569620253164557,-0.3962264150943397,-0.4069400630914825,-0.8003412969283277,-0.089430894308943,0.098901098901099,-0.594864479315264,105.64674548560872,21.40650830600178
10,47,96,-0.3736842105263153,-0.7826086956521738,-0.3796791443850268,-0.1340206185567009,-0.5217391304347826,-0.0482758620689656,-0.2827004219409283,-0.0188679245283018,0.053627760252366,-0.757679180887372,-0.3821138211382113,0.2820512820512821,-0.9514978601997148,2,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.31303589256116,21.40650830600178
11,7,56,-0.2947368421052634,-0.8300395256916996,-0.4010695187165777,-0.0721649484536079,-0.8260869565217391,-0.2206896551724138,-0.2995780590717301,-0.4716981132075472,-0.6025236593059936,-0.4197952218430035,0.0406504065040651,0.6190476190476191,-0.6690442225392297,2,67,1,-0.2947368421052634,-0.8300395256916996,-0.4010695187165777,-0.0721649484536079,-0.8260869565217391,-0.2206896551724138,-0.2995780590717301,-0.4716981132075472,-0.6025236593059936,-0.4197952218430035,0.0406504065040651,0.6190476190476191,-0.6690442225392297,102.98225069475362,21.40650830600178
12,26,75,-0.6736842105263153,-0.6324110671936759,0.3475935828877006,0.5876288659793816,-0.6086956521739131,-0.3517241379310345,-0.4641350210970464,0.0188679245283018,-0.4132492113564667,-0.7747440273037542,0.4308943089430896,0.4212454212454213,-0.594864479315264,2,87,1,-0.6736842105263153,-0.6324110671936759,0.3475935828877006,0.5876288659793816,-0.6086956521739131,-0.3517241379310345,-0.4641350210970464,0.0188679245283018,-0.4132492113564667,-0.7747440273037542,0.4308943089430896,0.4212454212454213,-0.594864479315264,102.77300342949806,21.40650830600178
13,50,99,-0.2157894736842105,-0.3320158102766797,-0.1336898395721926,0.0721649484536084,-0.6086956521739131,0.0827586206896551,-0.1856540084388186,-0.5094339622641509,-0.4889589905362775,-0.8771331058020478,-0.3170731707317072,0.106227106227106,-0.9329529243937232,2,111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.3962940898428,21.40650830600178
14,65,114,-0.2947368421052634,-0.6482213438735178,0.0053475935828875,0.4329896907216497,-0.6086956521739131,-0.1448275862068964,-0.1097046413502108,0.0188679245283018,-0.0599369085173501,-0.856655290102389,-0.3333333333333332,0.106227106227106,-0.9087018544935804,2,128,1,-0.2947368421052634,-0.6482213438735178,0.0053475935828875,0.4329896907216497,-0.6086956521739131,-0.1448275862068964,-0.1097046413502108,0.0188679245283018,-0.0599369085173501,-0.856655290102389,-0.3333333333333332,0.106227106227106,-0.9087018544935804,101.78568252786516,21.40650830600178
15,23,72,-0.5736842105263156,-0.9407114624505928,0.304812834224599,-0.2371134020618556,-0.4782608695652174,-0.1586206896551723,-0.2109704641350211,-0.6603773584905661,0.2239747634069402,-0.6979522184300342,-0.4959349593495934,0.3260073260073259,-0.6547788873038516,2,84,1,-0.5736842105263156,-0.9407114624505928,0.304812834224599,-0.2371134020618556,-0.4782608695652174,-0.1586206896551723,-0.2109704641350211,-0.6603773584905661,0.2239747634069402,-0.6979522184300342,-0.4959349593495934,0.3260073260073259,-0.6547788873038516,101.73307614181236,21.40650830600178
16,29,78,-0.4473684210526313,-0.5691699604743082,0.0267379679144383,-0.1855670103092782,-0.7608695652173914,-0.5724137931034482,-0.510548523206751,0.471698113207547,-0.22397476340694,-0.8088737201365188,-0.0243902439024388,-0.2673992673992674,-0.7118402282453637,2,90,1,-0.4473684210526313,-0.5691699604743082,0.0267379679144383,-0.1855670103092782,-0.7608695652173914,-0.5724137931034482,-0.510548523206751,0.471698113207547,-0.22397476340694,-0.8088737201365188,-0.0243902439024388,-0.2673992673992674,-0.7118402282453637,100.84909857041129,21.40650830600178
