,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N,Scalar_calc
0,s ,-2964,-7800,-7560,-2740,-3300,-2799,-4750,-7155,-6576,3456,6844,7528,2501,3447,2981,2889,5164,4828,-3964,167,736,-4761,-5111,-5448,-5344,-2664,-3000,190,2093497150.0
1,s ,-2964,-7920,-7560,-2329,-4800,-3421,-4560,-7685,-6850,3516,6953,7527,2381,4956,3585,2852,5588,5046,-3456,-280,-576,-2556,-5040,-3828,-4024,-2925,-3544,185,1773738023.0
2,s ,-4104,-7320,-7128,-4521,-5700,-6220,-2660,-6890,-6302,3162,6118,6491,3687,5925,6318,1407,5228,4880,-6744,112,-2096,129,-1776,-4140,-5036,792,168,51,1457081977.0
3,s ,-1140,-7800,-7560,-1918,-6300,-4354,-1330,-6625,-5754,2148,7120,8105,2037,6936,5358,842,5424,4844,-2431,-5614,-7128,270,-4440,-4020,-264,-4194,-4104,130,1374224539.0
4,s ,-2280,-7680,-7560,-2740,-4200,-3732,-1900,-6625,-5480,3094,6961,7774,2553,4380,4008,1576,4756,4052,-4624,-1449,-2120,191,-2496,-1344,-3204,-1287,-2208,167,1281640413.0
5,s ,-3420,-7800,-7560,-3562,-5400,-5909,-4560,-6890,-6576,2424,6538,6903,3050,5610,5898,2256,5202,4962,-2304,-966,-1824,-2406,-744,-3276,-1480,-2619,-2912,120,1270957291.0
6,s ,-2964,-7560,-7668,-2740,-6000,-4976,-3610,-6625,-5754,3402,6389,7328,2779,6483,6024,2312,4736,4244,-4968,-1666,-1576,-1380,-144,-2160,-3172,-189,-2160,6,1259678156.0
7,s ,-1368,-7680,-7452,-2055,-6300,-5598,-2470,-6625,-5754,1758,6459,6943,2460,6573,6027,1694,5008,4498,-3276,-2387,-2744,-1419,-984,-2891,-1899,-1835,-2472,52,1163443930.0
8,s ,-2280,-7560,-7452,-2603,-4200,-2488,-570,-6625,-5754,2996,6776,7590,2421,4362,2742,773,4760,4240,-4896,280,80,1701,-96,408,-2676,-1170,-2304,174,903761250.0
9,s ,-1368,-7560,-7452,-2192,-4800,-2799,-3230,-7155,-5754,2094,6635,7479,1919,4953,3060,2039,5098,4170,-3028,-889,168,405,-1272,-192,-2084,-477,-1584,156,864053412.0
10,s ,-1824,-7560,-7452,-2329,-4800,-3110,-3420,-6625,-6028,2516,6564,7331,2069,4929,3171,2191,4772,4448,-4024,-315,288,-228,312,-131,-2396,189,-1384,147,863835271.0
11,s ,-3192,-7440,-7344,-3699,-5700,-4976,-5130,-6095,-4932,2214,6211,6973,2561,6435,6207,2428,4398,3780,-4700,-567,-984,-885,1368,-528,-1704,999,-1000,22,822363992.0
12,s ,-3876,-7920,-7884,-2192,-6300,-4665,-2090,-6890,-5754,2886,6697,7272,2024,6519,4722,930,5244,4396,-1288,-1680,864,1365,384,852,-2480,-2538,-3944,116,769074439.0
13,s ,-684,-7560,-7344,-1918,-5700,-4354,-1330,-6890,-6028,1244,6595,7319,1992,5916,4614,924,5104,4526,-2212,-2170,-2416,1068,-1392,-1452,32,-945,-1792,140,690810164.0
14,s ,-2508,-7440,-7452,-2740,-6600,-5909,-4560,-7155,-6302,610,6229,6620,1775,6828,5547,2101,5394,4676,-52,-3087,-1760,245,-2712,-708,820,441,-1192,118,505279426.0
15,s ,-2280,-7560,-7452,-2192,-5700,-3732,-4180,-6890,-6028,1802,6419,7166,1439,5958,4020,1963,4916,4366,-1664,-1162,608,63,-360,-264,548,-207,-560,79,442317620.0
16,s ,-456,-7680,-7452,-1507,-6000,-4354,-2280,-6625,-5480,854,6791,7622,1403,6270,4683,1147,5036,4228,-1028,-3892,-3728,1416,-240,996,1776,-1935,-2216,125,351329352.0
17,h ,-2964,-7920,-7560,-822,-6600,-5909,-3420,-7420,-6576,1148,6410,6723,-1096,6192,4563,-16,4796,4032,-1572,-742,-592,2628,864,1716,3384,441,640,64,-484769338.0
