,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N
0,s ,-2736,-6840,-6696,-2603,-1500,-2488,-1140,-5035,-3288,950,6083,6138,1993,1914,2772,344,3870,2454,1028,7441,7432,4626,8064,7608,-640,7965,7448,123
1,d ,-3192,-3720,-3348,-5206,-4800,-5909,-2280,-7155,-6850,2330,2827,2795,3903,4809,5703,1248,5212,5036,-2772,-2310,-3040,153,-3024,-3384,-1027,-1143,-1880,193
2,d ,-5244,-5400,-5292,-4384,-4200,-4976,-1520,-6625,-7124,3696,4280,4552,3272,4251,4698,582,4812,5156,-2476,-1736,-3200,453,-2496,-2532,-824,-801,-1264,161
3,d ,-2508,-3600,-3780,-3836,-3000,-5287,-1520,-7155,-7124,-40,2684,3014,2948,2988,4869,82,5180,5086,1584,-1414,-1368,804,-1944,-2064,2064,-1593,-1696,186
4,s ,-3192,-7440,-7344,-3699,-5700,-4976,-5130,-6095,-4932,2214,6211,6973,2561,6435,6207,2428,4398,3780,-4700,-567,-984,-885,1368,-528,-1704,999,-1000,22
5,d ,-5472,-6360,-6480,-685,-4200,-622,-4180,-6360,-6028,4265,5308,6172,345,4980,2049,2021,4630,4642,-2320,-1309,-856,-93,-3192,-3239,-1104,-360,-2016,30
6,d ,-6612,-6480,-6696,137,-4800,-1555,-1710,-6625,-5754,5414,5419,6372,-132,5292,2511,616,4726,4230,-1540,-1519,-168,89,-1872,-1824,-56,-423,-1216,40
7,s ,-4104,-7320,-7128,-4521,-5700,-6220,-2660,-6890,-6302,3162,6118,6491,3687,5925,6318,1407,5228,4880,-6744,112,-2096,129,-1776,-4140,-5036,792,168,51
8,s ,-3420,-7800,-7560,-3562,-5400,-5909,-4560,-6890,-6576,2424,6538,6903,3050,5610,5898,2256,5202,4962,-2304,-966,-1824,-2406,-744,-3276,-1480,-2619,-2912,120
9,s ,-2964,-7560,-7668,-2740,-6000,-4976,-3610,-6625,-5754,3402,6389,7328,2779,6483,6024,2312,4736,4244,-4968,-1666,-1576,-1380,-144,-2160,-3172,-189,-2160,6
10,s ,-2280,-7680,-7560,-2740,-4200,-3732,-1900,-6625,-5480,3094,6961,7774,2553,4380,4008,1576,4756,4052,-4624,-1449,-2120,191,-2496,-1344,-3204,-1287,-2208,167
11,d ,-4332,-6360,-6372,-685,-4800,-2799,-190,-6625,-5754,3924,5335,6034,1003,5220,3645,166,4742,4238,-2812,-2436,-2416,-1629,-2784,-3828,-2220,-1620,-2599,27
12,s ,-2964,-7800,-7560,-2740,-3300,-2799,-4750,-7155,-6576,3456,6844,7528,2501,3447,2981,2889,5164,4828,-3964,167,736,-4761,-5111,-5448,-5344,-2664,-3000,190
13,d ,-3648,-5640,-5940,-1507,-4800,-3110,-1330,-6890,-6850,2376,4633,5281,1384,4902,2967,418,5012,4926,-2092,-1596,-1304,-969,-2568,-2891,-1444,-477,-1200,145
14,s ,-2280,-7560,-7452,-2192,-5700,-3732,-4180,-6890,-6028,1802,6419,7166,1439,5958,4020,1963,4916,4366,-1664,-1162,608,63,-360,-264,548,-207,-560,79
15,s ,-2508,-7440,-7452,-2740,-6600,-5909,-4560,-7155,-6302,610,6229,6620,1775,6828,5547,2101,5394,4676,-52,-3087,-1760,245,-2712,-708,820,441,-1192,118
