,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N,Scalar_calc
0,d ,-3648,-5400,-5940,-822,-1800,-933,1520,-6360,-6028,2674,4492,5450,741,1920,900,-1219,4654,4444,-412,-1610,-471,153,-1464,-420,840,-1719,-1864,81,-331781516.9428575
1,d ,-2508,-4920,-5832,-2603,-1800,-2799,2850,-6625,-6302,1596,3988,5121,2011,1938,2685,-1731,4946,4730,-1364,-1148,-1072,249,-2160,-1836,-172,-1098,-1912,94,-480182571.8285718
2,d ,-684,-2760,-3024,-3151,-2400,-3110,570,-6890,-6028,96,2048,2526,2444,2445,3099,-252,5066,4480,-2292,-2296,-2944,663,-2784,-3300,-612,-1305,-2008,194,-489938667.1714289
3,d ,-1140,-4560,-5400,411,-2400,-1866,5890,-6625,-5480,678,3888,4910,332,2655,2106,-3069,5142,4330,-1540,-2058,-768,-1266,-2424,-2316,-1696,-2511,-2928,100,-504627058.5714289
4,d ,-3192,-5040,-5940,-959,-2400,-3110,3420,-6625,-5480,2570,4285,5419,1329,2631,3309,-1763,5064,4270,-1688,-1911,-648,-1083,-2040,-2087,-1520,-2060,-2472,86,-509417084.9428575
5,d ,-2736,-5760,-5832,3014,-3900,311,3040,-6890,-6576,3054,5179,6091,-1957,4167,186,-1531,5122,4950,-3316,-3185,-4064,-129,-2592,-2184,-1427,-1935,-2512,129,-530141533.571429
6,d ,-1824,-5040,-5724,-1370,-1800,-933,950,-6360,-6028,1596,4270,5327,1612,2046,1302,-427,4756,4598,-644,-2303,-680,-558,-2184,-1680,-468,-2024,-2384,67,-547113773.8285716
7,d ,-2736,-6000,-6480,-822,-1500,-1244,950,-6890,-6850,3330,5324,6507,1017,1647,1440,-93,4980,5056,-4060,-854,-232,-465,-1392,-996,-2816,-783,-2080,153,-573954369.571429
8,d ,-3420,-5280,-5832,274,-3600,-1555,4180,-6095,-4658,2874,4402,5555,-166,3999,2346,-2402,4302,3390,-1284,-1302,1304,48,-1680,-1140,-84,-503,-920,46,-594805298.0857145
9,d ,-5700,-6600,-6696,-2603,-3600,-3110,-1520,-7155,-7124,5215,5568,6211,2649,3846,3489,1045,5414,5482,-2792,-2408,-2136,-1623,-2088,-2880,-2236,-2196,-2960,57,-615770911.1714292
