,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N,Scalar_calc
0,h ,5244,-7440,-6912,1096,-6900,-4665,950,-7155,-5206,-3540,5966,6246,-79,6960,4935,668,5662,4492,-4632,-2303,-3200,-525,-2544,-4248,-4324,-2853,-4504,178,6359924580.567566
1,h ,3648,-7440,-6912,548,-6600,-4976,-570,-6890,-5206,-3314,6010,6270,-278,6783,5388,613,4970,3980,-3184,-2821,-3664,-78,-4224,-5448,-2148,-1107,-2712,171,6000024858.189189
2,h ,2736,-7680,-7452,411,-7500,-6220,-950,-7420,-6028,-2718,6027,6227,-800,7362,5381,634,5276,4168,-4504,-616,-1016,-144,-2016,-1920,-2400,2025,920,104,5887176035.621619
3,h ,2964,-7440,-7020,0,-6900,-4976,380,-7155,-5206,-3162,5956,6331,54,7014,5360,-113,5320,4014,-1576,-1862,-3856,1149,-2856,-5160,-1016,-2267,-3032,184,5789438670.081081
4,h ,3192,-7680,-7236,822,-7200,-5598,190,-6890,-5754,-2071,6049,6108,-356,7155,4835,418,4846,3912,-4360,-1274,-936,-945,-3072,-1716,-2948,-954,-760,117,5703084606.729728
5,h ,3648,-7680,-7020,959,-5700,-3732,950,-6360,-3836,-2070,6484,6737,152,6288,5025,176,4434,2724,-4908,-2604,-3176,-4704,-4728,-6780,-5792,-1737,-2736,5,5623015654.702703
6,h ,3420,-7200,-6912,685,-6300,-4665,760,-6890,-4658,-2366,5941,6280,-129,6549,4983,-18,6010,4450,-4056,-2401,-4032,-963,-4056,-4800,-2436,-5688,-5792,74,5601127610.297297
7,h ,2964,-7440,-7020,685,-6600,-4976,1710,-6625,-4384,-1700,6231,6538,222,6894,5544,-476,4898,3450,-4296,-1946,-3432,-1065,-2760,-4320,-2636,-954,-2199,66,5575129909.216215
8,h ,3648,-7440,-7020,685,-6300,-4354,1900,-6625,-5206,-2398,6191,6558,620,6567,4797,-254,5000,4234,-4032,-1575,-2896,-2445,-2400,-3588,-4048,-1620,-3016,59,5564682656.675674
9,h ,2964,-7560,-7236,-274,-6000,-4043,2090,-6625,-4384,-2198,6397,6958,1418,6615,5430,-494,4798,3402,-3448,-2590,-3640,-3534,-4920,-6888,-4316,-1719,-3040,37,5470908032.324323
10,h ,2508,-7560,-7020,137,-6900,-5598,760,-6890,-5480,-2224,6103,6231,301,6975,5622,-433,4928,3898,-2372,-189,-432,-366,-1128,-2339,-1099,108,-736,97,5441263696.945945
